,Hit@1,Hit@5,Hit@10,Hit@30,MRR,std@1,std@5,std@10,std@30,std_MRR
cora_(attr-0.0),0.9963,1.0000,1.0000,1.0000,0.9981,0.0000,0.0000,0.0000,0.0000,0.000
Douban_(attr-0.0),0.4917,0.7219,0.7899,0.8816,0.5908,0.0018,0.0011,0.0000,0.0000,0.001
